CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_200705_001,1,1,1,1,1,0,0,0
sps4_200705_002,1,1,1,1,1,0,0,0
sps4_200705_003,1,1,1,1,1,0,0,0
sps4_200705_004,1,1,1,1,1,0,0,0
sps4_200705_005,1,1,1,1,1,0,0,0
sps4_200705_006,1,1,1,1,1,0,0,0
sps4_200705_007,1,1,1,1,1,0,0,0
sps4_200705_008,1,1,1,1,1,0,0,0
sps4_200705_009,1,1,1,1,1,0,0,0
sps4_200705_010,1,1,1,1,1,0,0,0
sps4_200705_011,1,1,1,1,1,0,0,0
sps4_200705_012,1,1,1,1,1,0,0,0
sps4_200705_013,1,1,1,1,1,0,0,0
sps4_200705_014,1,1,1,1,1,0,0,0
sps4_200705_015,1,1,1,1,1,0,0,0
sps4_200705_016,1,1,1,1,1,0,0,0
sps4_200705_017,1,1,1,1,1,0,0,0
sps4_200705_018,1,1,1,1,1,0,0,0
sps4_200705_019,1,1,1,1,1,0,0,0
sps4_200705_020,1,1,1,1,1,0,0,0
sps4_200705_021,1,1,1,1,1,0,0,0
sps4_200705_022,1,1,1,1,1,0,0,0
sps4_200705_023,1,1,1,1,1,0,0,0
sps4_200705_024,1,1,1,1,1,0,0,0
sps4_200705_025,1,1,1,1,1,0,0,0
sps4_200805_001,1,1,1,1,1,0,0,0
sps4_200805_002,1,1,1,1,1,0,0,0
sps4_200805_003,1,1,1,1,1,0,0,0
sps4_200805_004,1,1,1,1,1,0,0,0
sps4_200805_005,1,1,1,1,1,0,0,0
sps4_200805_006,1,1,1,1,1,0,0,0
sps4_200805_007,1,1,1,1,1,0,0,0
sps4_200805_008,1,1,1,1,1,0,0,0
sps4_200805_009,1,1,1,1,1,0,0,0
sps4_200805_010,1,1,1,1,1,0,0,0
sps4_200805_011,1,1,1,1,1,0,0,0
sps4_200805_012,1,1,1,1,1,0,0,0
sps4_200805_013,1,1,1,1,1,0,0,0
sps4_200805_014,1,1,1,1,1,0,0,0
sps4_200805_015,1,1,1,1,1,0,0,0
sps4_200805_016,1,1,1,1,1,0,0,0
sps4_200805_017,1,1,1,1,1,0,0,0
sps4_200805_018,1,1,1,1,1,0,0,0
sps4_200805_019,1,1,1,1,1,0,0,0
sps4_200805_020,1,1,1,1,1,0,0,0
sps4_200805_021,1,1,1,1,1,0,0,0
sps4_200805_022,1,1,1,1,1,0,0,0
sps4_200805_023,1,1,1,1,1,0,0,0
sps4_200805_024,1,1,1,1,1,0,0,0
sps4_200805_025,1,1,1,1,1,0,0,0
sps4_200905_001,1,1,1,1,1,0,0,0
sps4_200905_002,1,1,1,1,1,0,0,0
sps4_200905_003,1,1,1,1,1,0,0,0
sps4_200905_004,1,1,1,1,1,0,0,0
sps4_200905_005,1,1,1,1,1,0,0,0
sps4_200905_006,1,1,1,1,1,0,0,0
sps4_200905_007,1,1,1,1,1,0,0,0
sps4_200905_008,1,1,1,1,1,0,0,0
sps4_200905_009,1,1,1,1,1,0,0,0
sps4_200905_010,1,1,1,1,1,0,0,0
sps4_200905_011,1,1,1,1,1,0,0,0
sps4_200905_012,1,1,1,1,1,0,0,0
sps4_200905_013,1,1,1,1,1,0,0,0
sps4_200905_014,1,1,1,1,1,0,0,0
sps4_200905_015,1,1,1,1,1,0,0,0
sps4_200905_016,1,1,1,1,1,0,0,0
sps4_200905_017,1,1,1,1,1,0,0,0
sps4_200905_018,1,1,1,1,1,0,0,0
sps4_200905_019,1,1,1,1,1,0,0,0
sps4_200905_020,1,1,1,1,1,0,0,0
sps4_200905_021,1,1,1,1,1,0,0,0
sps4_200905_022,1,1,1,1,1,0,0,0
sps4_200905_023,1,1,1,1,1,0,0,0
sps4_200905_024,1,1,1,1,1,0,0,0
sps4_200905_025,1,1,1,1,1,0,0,0
sps4_201005_001,1,1,1,1,1,0,0,0
sps4_201005_002,1,1,1,1,1,0,0,0
sps4_201005_003,1,1,1,1,1,0,0,0
sps4_201005_004,1,1,1,1,1,0,0,0
sps4_201005_005,1,1,1,1,1,0,0,0
sps4_201005_006,1,1,1,1,1,0,0,0
sps4_201005_007,1,1,1,1,1,0,0,0
sps4_201005_008,1,1,1,1,1,0,0,0
sps4_201005_009,1,1,1,1,1,0,0,0
sps4_201005_010,1,1,1,1,1,0,0,0
sps4_201005_011,1,1,1,1,1,0,0,0
sps4_201005_012,1,1,1,1,1,0,0,0
sps4_201005_013,1,1,1,1,1,0,0,0
sps4_201005_014,1,1,1,1,1,0,0,0
sps4_201005_015,1,1,1,1,1,0,0,0
sps4_201005_016,1,1,1,1,1,0,0,0
sps4_201005_017,1,1,1,1,1,0,0,0
sps4_201005_018,1,1,1,1,1,0,0,0
sps4_201005_019,1,1,1,1,1,0,0,0
sps4_201005_020,1,1,1,1,1,0,0,0
sps4_201005_021,1,1,1,1,1,0,0,0
sps4_201005_022,1,1,1,1,1,0,0,0
sps4_201005_023,1,1,1,1,1,0,0,0
sps4_201005_024,1,1,1,1,1,0,0,0
sps4_201005_025,1,1,1,1,1,0,0,0
sps4_201105_001,1,1,1,1,1,0,0,0
sps4_201105_002,1,1,1,1,1,0,0,0
sps4_201105_003,1,1,1,1,1,0,0,0
sps4_201105_004,1,1,1,1,1,0,0,0
sps4_201105_005,1,1,1,1,1,0,0,0
sps4_201105_006,1,1,1,1,1,0,0,0
sps4_201105_007,1,1,1,1,1,0,0,0
sps4_201105_008,1,1,1,1,1,0,0,0
sps4_201105_009,1,1,1,1,1,0,0,0
sps4_201105_010,1,1,1,1,1,0,0,0
sps4_201105_011,1,1,1,1,1,0,0,0
sps4_201105_012,1,1,1,1,1,0,0,0
sps4_201105_013,1,1,1,1,1,0,0,0
sps4_201105_014,1,1,1,1,1,0,0,0
sps4_201105_015,1,1,1,1,1,0,0,0
