start-date,IC1,IC2,IC3,IC4
200709,DONE,--,--,--
200809,DONE,--,--,--
200909,--,--,--,--
201009,--,--,--,--
201109,--,--,--,--
201209,--,--,--,--
201309,--,--,--,--
201409,--,--,--,--
201509,--,--,--,--
201609,--,--,--,--
201709,--,--,--,--
201809,--,--,--,--
201909,--,--,--,--
202009,--,--,--,--
202109,--,--,--,--
202209,--,--,--,--
199310,DONE,DONE,--,--
199410,DONE,DONE,--,--
199510,DONE,DONE,--,--
199610,DONE,DONE,--,--
199710,DONE,DONE,--,--
199810,DONE,DONE,--,--
199910,DONE,DONE,--,--
200010,DONE,DONE,--,--
200110,DONE,DONE,--,--
200210,DONE,DONE,--,--
200310,DONE,DONE,--,--
200410,DONE,DONE,--,--
200510,DONE,DONE,--,--
200610,DONE,DONE,--,--
200710,DONE,--,--,--
200810,--,--,--,--
200910,--,--,--,--
201010,--,--,--,--
201110,--,--,--,--
201210,--,--,--,--
201310,--,--,--,--
201410,--,--,--,--
201510,--,--,--,--
201610,--,--,--,--
201710,--,--,--,--
201810,--,--,--,--
201910,--,--,--,--
202010,--,--,--,--
202110,--,--,--,--
202210,--,--,--,--
199311,DONE,DONE,--,--
199411,DONE,DONE,--,--
199511,DONE,DONE,--,--
199611,DONE,DONE,--,--
199711,DONE,DONE,--,--
199811,DONE,DONE,--,--
199911,DONE,DONE,--,--
200011,DONE,DONE,--,--
200111,DONE,DONE,--,--
200211,DONE,DONE,--,--
200311,DONE,DONE,--,--
200411,DONE,DONE,--,--
200511,DONE,DONE,--,--
200611,DONE,DONE,--,--
200711,DONE,--,--,--
200811,--,--,--,--
200911,--,--,--,--
201011,--,--,--,--
201111,--,--,--,--
201211,--,--,--,--
201311,--,--,--,--
201411,--,--,--,--
201511,--,--,--,--
201611,--,--,--,--
201711,--,--,--,--
201811,--,--,--,--
201911,--,--,--,--
202011,--,--,--,--
202111,--,--,--,--
202211,--,--,--,--
199312,DONE,DONE,--,--
199412,DONE,DONE,--,--
199512,DONE,DONE,--,--
199612,DONE,DONE,--,--
199712,DONE,DONE,--,--
199812,DONE,DONE,--,--
199912,DONE,DONE,--,--
200012,DONE,DONE,--,--
200112,DONE,DONE,--,--
200212,DONE,DONE,--,--
200312,DONE,DONE,--,--
200412,DONE,DONE,--,--
200512,DONE,DONE,--,--
200612,DONE,DONE,--,--
200712,DONE,--,--,--
200812,--,--,--,--
200912,--,--,--,--
201012,--,--,--,--
201112,--,--,--,--
201212,--,--,--,--
201312,--,--,--,--
201412,--,--,--,--
201512,--,--,--,--
201612,--,--,--,--
201712,--,--,--,--
201812,--,--,--,--
201912,--,--,--,--
202012,--,--,--,--
202112,--,--,--,--
202212,--,--,--,--
